Marked,Attribute,Count,Category
,car,2114,
,i,2079,
,honda,1365,
,year,1011,
,ford,852,
,time,670,
,model,668,
,@,587,
,vehicle,578,
,hyundai,570,
,lot,565,
,toyota,553,
,way,517,
x,engine,468,Performance
x,price,457,Value
,thing,447,
x,drive,418,Experience
x,look,416,Aesthetics
,mazda,410,
x,sale,402,Value
,chevrolet,398,
,sedan,392,
,people,390,
x,mpg,381,Fuel Efficiency
x,dealer,373,Service
,day,371,
,month,365,
,something,353,
x,problem,345,Service
x,seat,322,Comfort
x,power,312,Performance
,road,307,
,subaru,298,
x,mile,295,Fuel Efficiency
,wife,289,
x,show,283,Aesthetics
,get,276,
,number,270,
,test,269,
,%,263,
x,deal,260,Value
x,wheel,256,Performance
,chrysler,250,
,volkswagen,249,
,sport,248,
,auto,237,
x,size,236,Aesthetics
x,gas,235,Fuel Efficiency
x,money,234,Value
,midsize,233,
,work,228,
,choice,223,
,option,223,
,today,223,
x,speed,223,Performance
,week,222,
x,cost,220,Value
x,feature,220,Technology
x,transmission,219,Performance
x,fuel,216,Fuel Efficiency
,point,214,
,trip,201,
,cski,197,
x,base,194,Technology
x,system,193,Technology
x,tire,192,Performance
,bit,191,
,volkwagen,191,
,highway,191,
,kind,190,
,driver,189,
,reason,187,
x,turbo,185,Performance
x,mileage,185,Fuel Efficiency
x,area,184,Aesthetics
x,issue,183,Service
,family,179,
,benjaminh,176,
,http,175,
,end,174,
,nothing,170,
x,market,170,Value
,change,169,
,kia,169,
x,quote,169,Value
x,room,168,Comfort
,line,167,
,anything,166,
x,quality,165,Service
,use,164,
,difference,164,
,buyer,164,
,le,163,
,acura,161,
,brand,161,
x,class,161,Aesthetics
,review,160,
x,lease,157,Value
x,cvt,155,Performance
,guy,154,
x,hp,154,Performance
,part,151,
x,warranty,150,Value
,list,150,
,stickguy,148,
x,ride,148,Experience
x,value,145,Value
,others,143,
x,control,142,Performance
,course,140,
x,design,140,Aesthetics
x,side,137,Aesthetics
,guess,136,
,dodge,135,
,akirby,134,
x,motor,132,Performance
,brian125,131,
x,color,130,Aesthetics
,fact,130,
x,visibility,130,Comfort
x,term,129,Value
,version,128,
,owner,128,
,bmw,128,
,someone,127,
,company,127,
,everything,127,
x,reliability,126,Service
x,sound,125,Experience
,couple,123,
x,experience,122,Experience
,world,122,
x,camera,121,Technology
x,feel,121,Experience
,job,118,
,traffic,116,
,need,116,
,see,114,
,place,114,
,post,113,
,home,112,
x,economy,110,Fuel Efficiency
,case,109,
,thanks,106,
,rating,105,
x,door,105,Aesthetics
,product,105,
x,performance,104,Performance
x,range,103,Fuel Efficiency
x,package,103,Value
,m6user,103,
,generation,102,
x,mph,102,Performance
x,v6,102,Performance
,anyone,101,
,level,99,
x,fun,98,Experience
x,tank,98,Fuel Efficiency
x,service,97,Service
,spot,96,
,everyone,96,
x,front,95,Aesthetics
x,noise,95,Service
x,start,95,Service
,kid,95,
x,discount,94,Value
x,trunk,94,Comfort
x,dealership,92,Service
,gm,91,
,state,91,
,head,90,
,suydam,90,
,hour,90,
x,driving,89,Performance
x,stick,89,Performance
x,sticker,88,Value
,comparison,88,
x,button,88,Technology
,mid,87,
,stuff,87,
x,help,87,Service
,idea,87,
,buy,86,
,suv,85,
x,payment,85,Value
,ex,85,
x,pay,84,Value
,report,84,
,improvement,84,
x,repair,84,Service
,right,84,
,think,84,
,passenger,83,
,manufacturer,83,
,mine,83,
,make,82,
x,awd,82,Performance
,check,82,
x,material,82,Aesthetics
x,style,82,Aesthetics
x,center,82,Performance
,audi,81,
,person,81,
,picture,81,
,buick,81,
